DATE,NYUR
2018-01-01,4.5
2018-02-01,4.4
2018-03-01,4.3
2018-04-01,4.2
2018-05-01,4.1
2018-06-01,4.0
2018-07-01,3.9
2018-08-01,3.9
2018-09-01,3.9
2018-10-01,4.0
2018-11-01,4.0
2018-12-01,4.0
2019-01-01,4.0
2019-02-01,3.9
2019-03-01,3.8
2019-04-01,3.8
2019-05-01,3.7
2019-06-01,3.7
2019-07-01,3.8
2019-08-01,3.8
2019-09-01,3.9
2019-10-01,3.9
2019-11-01,3.9
2019-12-01,4.0
2020-01-01,4.0
2020-02-01,4.1
2020-03-01,4.2
2020-04-01,15.6
2020-05-01,16.6
2020-06-01,13.5
2020-07-01,12.5
2020-08-01,10.8
2020-09-01,10.1
2020-10-01,9.2
2020-11-01,8.9
2020-12-01,8.7
2021-01-01,8.5
2021-02-01,8.3
2021-03-01,8.0
2021-04-01,7.8
2021-05-01,7.4
2021-06-01,7.4
2021-07-01,7.0
2021-08-01,6.7
2021-09-01,6.2
2021-10-01,5.9
2021-11-01,5.6
2021-12-01,5.4
2022-01-01,5.1
2022-02-01,4.7
2022-03-01,4.4
2022-04-01,4.3
2022-05-01,4.1
2022-06-01,4.1
2022-07-01,4.0
2022-08-01,3.9
2022-09-01,4.0
2022-10-01,4.2
2022-11-01,4.1
2022-12-01,4.1
